ID;Recency;Frequency;Monetary;R;F;M;RFM_Concat;RFM_Score;RFM_Segment
2174;38.0;6.0;27.0;4;1;1;411;5.0;Potencialmente fiéis
4141;26.0;21.0;776.0;4;5;5;455;9.0;Campeões
6182;26.0;8.0;53.0;4;2;2;422;6.0;Potencialmente fiéis
5324;94.0;19.0;422.0;1;5;4;154;5.5;Em Risco
7446;16.0;22.0;716.0;5;5;5;555;10.0;Campeões
965;34.0;21.0;590.0;4;5;5;455;9.0;Campeões
6177;32.0;10.0;169.0;4;3;3;433;7.0;Fiéis
4855;19.0;6.0;46.0;5;1;2;512;6.5;Potencialmente fiéis
387;59.0;6.0;61.0;2;1;2;212;3.5;Quase em risco
8180;53.0;15.0;310.0;3;4;4;344;7.0;Fiéis
2569;38.0;5.0;46.0;4;1;2;412;5.5;Potencialmente fiéis
9736;51.0;9.0;96.0;3;3;3;333;6.0;Fiéis
2278;86.0;8.0;133.0;1;2;3;123;3.5;Em Risco
9360;41.0;12.0;316.0;3;3;4;334;6.5;Fiéis
1993;63.0;17.0;972.0;2;4;5;245;6.5;Fiéis
4047;0.0;20.0;544.0;5;5;4;554;9.5;Campeões
7892;89.0;8.0;75.0;1;2;2;122;3.0;Em Risco
2404;4.0;14.0;257.0;5;4;4;544;9.0;Campeões
9422;26.0;9.0;131.0;4;3;3;433;7.0;Fiéis
6864;34.0;8.0;30.0;4;2;1;421;5.5;Potencialmente fiéis
3033;56.0;11.0;318.0;3;3;4;334;6.5;Fiéis
5710;31.0;9.0;120.0;4;3;3;433;7.0;Fiéis
7373;8.0;17.0;302.0;5;4;4;544;9.0;Campeões
8755;4.0;18.0;1196.0;5;4;5;545;9.5;Campeões
10738;55.0;6.0;65.0;3;1;2;312;4.5;Potencialmente fiéis
4339;37.0;28.0;913.0;4;5;5;455;9.0;Campeões
10755;76.0;9.0;81.0;2;3;3;233;5.0;Fiéis
8595;99.0;7.0;67.0;1;2;2;122;3.0;Em Risco
503;88.0;7.0;53.0;1;2;2;122;3.0;Em Risco
8430;4.0;4.0;22.0;5;1;1;511;6.0;Potencialmente fiéis
2139;19.0;8.0;31.0;5;2;1;521;6.5;Potencialmente fiéis
9909;24.0;10.0;122.0;4;3;3;433;7.0;Fiéis
