ID;Recency;Frequency;Monetary;R;F;M;RFM_Concat;RFM_Score;RFM_Segment;Cluster
2174;38.0;6.0;27.0;4;1;1;411;13.25;Novos clientes;0
4141;26.0;21.0;776.0;4;5;5;455;18.25;Campeões;3
6182;26.0;8.0;53.0;4;2;2;422;14.5;Potencialmente fiéis;4
5324;94.0;19.0;422.0;1;5;4;154;8.75;Quase em risco;3
7446;16.0;22.0;716.0;5;5;5;555;21.25;Campeões;3
965;34.0;21.0;590.0;4;5;5;455;18.25;Campeões;3
6177;32.0;10.0;169.0;4;3;3;433;15.75;Campeões;1
4855;19.0;6.0;46.0;5;1;2;512;16.75;Campeões;0
387;59.0;6.0;61.0;2;1;2;212;7.75;Quase em risco;4
8180;53.0;15.0;310.0;3;4;4;344;14.0;Novos clientes;1
2569;38.0;5.0;46.0;4;1;2;412;13.75;Novos clientes;0
9736;51.0;9.0;96.0;3;3;3;333;12.75;Novos clientes;4
2278;86.0;8.0;133.0;1;2;3;123;6.0;Hibernando;4
9360;41.0;12.0;316.0;3;3;4;334;13.25;Novos clientes;1
1993;63.0;17.0;972.0;2;4;5;245;11.5;Novos clientes;3
4047;0.0;20.0;544.0;5;5;4;554;20.75;Campeões;2
7892;89.0;8.0;75.0;1;2;2;122;5.5;Hibernando;4
2404;4.0;14.0;257.0;5;4;4;544;20.0;Campeões;1
9422;26.0;9.0;131.0;4;3;3;433;15.75;Campeões;4
6864;34.0;8.0;30.0;4;2;1;421;14.0;Novos clientes;4
3033;56.0;11.0;318.0;3;3;4;334;13.25;Novos clientes;1
5710;31.0;9.0;120.0;4;3;3;433;15.75;Campeões;4
7373;8.0;17.0;302.0;5;4;4;544;20.0;Campeões;1
8755;4.0;18.0;1196.0;5;4;5;545;20.5;Campeões;3
10738;55.0;6.0;65.0;3;1;2;312;10.75;Promissores;4
4339;37.0;28.0;913.0;4;5;5;455;18.25;Campeões;3
10755;76.0;9.0;81.0;2;3;3;233;9.75;Precisam de atenção;4
8595;99.0;7.0;67.0;1;2;2;122;5.5;Hibernando;4
503;88.0;7.0;53.0;1;2;2;122;5.5;Hibernando;4
