ID;Year_Birth;Education;Marital_Status;Income;Kidhome;Teenhome;Dt_Customer;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Response;Age;Age_Group;NumOffSprings
5524;1957;Graduation;Single;58138.0;0;0;2012-09-04;58.0;635.0;88.0;546.0;;88.0;88.0;3.0;8.0;;4.0;7.0;0;0;0;0;0;0;1;63;60-69;0
2174;1954;Graduation;Single;46344.0;1;1;2014-03-08;38.0;11.0;1.0;6.0;2.0;1.0;6.0;2.0;1.0;1.0;2.0;5.0;0;0;0;0;0;0;0;66;60-69;2
4141;1965;Graduation;Together;71613.0;0;0;2013-08-21;26.0;426.0;49.0;127.0;111.0;21.0;42.0;1.0;8.0;2.0;10.0;4.0;0;0;0;0;0;0;0;55;50-59;0
6182;1984;Graduation;Together;26646.0;1;0;2014-02-10;26.0;11.0;4.0;20.0;10.0;3.0;5.0;2.0;2.0;0.0;4.0;6.0;0;0;0;0;0;0;0;36;30-39;1
5324;1981;PhD;Married;58293.0;1;0;2014-01-19;94.0;173.0;43.0;118.0;46.0;27.0;15.0;5.0;5.0;3.0;6.0;5.0;0;0;0;0;0;0;0;39;>69;1
7446;1967;Master;Together;62513.0;0;1;2013-09-09;16.0;520.0;42.0;98.0;0.0;42.0;14.0;2.0;6.0;4.0;10.0;6.0;0;0;0;0;0;0;0;53;50-59;1
965;1971;Graduation;Divorced;55635.0;0;1;2012-11-13;34.0;235.0;65.0;164.0;50.0;49.0;27.0;4.0;7.0;3.0;7.0;6.0;0;0;0;0;0;0;0;49;>69;1
6177;1985;PhD;Married;33454.0;1;0;2013-05-08;32.0;76.0;10.0;56.0;3.0;1.0;23.0;2.0;4.0;0.0;4.0;8.0;0;0;0;0;0;0;0;35;30-39;1
4855;1974;PhD;Together;30351.0;1;0;2013-06-06;19.0;14.0;0.0;24.0;3.0;3.0;2.0;1.0;3.0;0.0;2.0;9.0;0;0;0;0;0;0;1;46;40-59;1
5899;1950;PhD;Together;5648.0;1;1;2014-03-13;68.0;28.0;0.0;6.0;1.0;1.0;13.0;1.0;1.0;0.0;0.0;;1;0;0;0;0;0;0;70;>69;2
387;1976;Basic;Married;7500.0;0;0;2012-11-13;59.0;6.0;16.0;11.0;11.0;1.0;16.0;1.0;2.0;0.0;3.0;8.0;0;0;0;0;0;0;0;44;40-59;0
2125;1959;Graduation;Divorced;63033.0;0;0;2013-11-15;82.0;194.0;61.0;480.0;;;30.0;1.0;3.0;4.0;8.0;2.0;0;0;0;0;0;0;0;61;60-69;0
